Temperature,S_A,S_n,S_Ea,Abs_S_A,Abs_S_n,Abs_S_Ea,Dominant_Parameter,uncertainty_from_A,uncertainty_from_n,uncertainty_from_Ea,total_uncertainty
748.9795918367347,1.0,0.9216182494266305,-2.203177319111808,1.0,0.9216182494266305,2.203177319111808,Ea,15.0,5.619623472113601,16.058143725304717,22.681361243780618
793.8775510204082,1.0,0.9798357449905066,-2.0785760311414743,1.0,0.9798357449905066,2.0785760311414743,Ea,15.0,5.974608201161626,15.149971072459723,22.140857405569328
838.7755102040817,1.0,1.034849615868295,-1.9673140538054341,1.0,1.034849615868295,1.9673140538054341,Ea,15.0,6.310058633343263,14.339023715783044,21.68927018315781
883.6734693877552,1.0,1.0869941293745502,-1.8673581434504236,1.0,1.0869941293745502,1.8673581434504236,Ea,15.0,6.628012983991161,13.610482095119703,21.31140021156586
928.5714285714286,1.0,1.1365538203230108,-1.7770682991517222,1.0,1.1365538203230108,1.7770682991517222,Ea,15.0,6.9302062214817735,12.952392850960074,20.995052722912277
973.469387755102,1.0,1.1837728922604016,-1.6951070778071982,1.0,1.1837728922604016,1.6951070778071982,Ea,15.0,7.218127391831717,12.355007855737595,20.730354125292916
1018.3673469387755,1.0,1.228862497123579,-1.6203728980241152,1.0,1.228862497123579,1.6203728980241152,Ea,15.0,7.4930640068510925,11.810298090554774,20.509245456586868
1063.2653061224491,1.0,1.2720064431254274,-1.5519502420614846,1.0,1.2720064431254274,1.5519502420614846,Ea,15.0,7.756136848325777,11.311590685579333,20.325101294902375
1108.1632653061224,1.0,1.3133657213059957,-1.4890719633775942,1.0,1.3133657213059957,1.4890719633775942,Ea,15.0,8.008327568938999,10.853294193714241,20.172439250292456
1153.061224489796,1.0,1.3530821325185012,-1.4310904002018292,1.0,1.3530821325185012,1.4310904002018292,Ea,15.0,8.250500808039641,10.430688048118288,20.04669590582499
1197.9591836734694,1.0,1.3912812212001566,-1.3774549848620674,1.0,1.3912812212001566,1.3774549848620674,n,15.0,8.48342208048876,10.03975936488387,19.94405220361443
1242.857142857143,1.0,1.4280746690819572,-1.3276947062627809,1.0,1.4280746690819572,1.3276947062627809,n,15.0,8.70777237245096,9.677075118533386,19.86129609416662
1287.7551020408164,1.0,1.4635622639132735,-1.281404241068199,1.0,1.4635622639132735,1.281404241068199,n,15.0,8.924160145812644,9.339681057348386,19.795713590600947
1332.6530612244899,1.0,1.4978335306484916,-1.2382328883828997,1.0,1.4978335306484916,1.2382328883828997,n,15.0,9.133131284442022,9.025021052353495,19.745001698006444
